CLIENT_ID,PREDICT
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,0
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
